[2026-03-08 23:09:22,855][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,002][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,016][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,039][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,100][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,119][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,163][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,302][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,427][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,497][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,499][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,608][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,612][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,650][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:23,912][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,073][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,146][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,190][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,195][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,350][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,355][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,371][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,390][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,482][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,673][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,708][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,785][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:24,880][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,147][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,242][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,279][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,458][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,640][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,751][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,785][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:25,928][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,159][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,280][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,509][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,525][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,587][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,590][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,612][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,976][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:26,989][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,088][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,120][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,179][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,610][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,754][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,765][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:27,798][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,212][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,221][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,417][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,434][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,686][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,704][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,804][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:28,827][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:29,150][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:29,211][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:29,239][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-03-08 23:09:29,332][httpx][INFO] - HTTP Request: POST https://shiyangtest5761048363.services.ai.azure.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
